"Index" "PFOpen" "PFHigh" "PFLow" "PFClose" "PFVolume" "PFAdjusted"
"2012-01-31" 20.616697 20.673624 20.132828 20.303604 58525247 14.104782
"2012-02-01" 20.161289 20.426945 20.113852 20.218216 47106844 14.191355
"2012-02-02" 20.142315 20.218216 19.734344 20.028463 60616067 14.058165
"2012-02-03" 20.104364 20.161289 19.971537 20.113852 43372311 14.118105
"2012-02-06" 20.047438 20.094877 19.800758 19.876659 33828235 13.951611
"2012-02-07" 19.800758 20.018974 19.734344 19.971537 39394199 14.018209
"2012-02-08" 19.924099 20 19.781784 19.933586 36091173 13.991567
"2012-02-09" 19.971537 20.161289 19.924099 20.056927 30503287 14.078146
"2012-02-10" 19.924099 19.981026 19.829222 19.971537 28363245 14.018209
"2012-02-13" 20.132828 20.332067 20.047438 20.208729 31138217 14.184695
"2012-02-14" 20.208729 20.32258 20.085388 20.237192 26627097 14.204674
"2012-02-15" 20.227703 20.265656 19.971537 20.028463 31215580 14.058165
"2012-02-16" 20.085388 20.28463 19.981026 20.237192 25492360 14.204674
"2012-02-17" 20.379507 20.379507 20.028463 20.104364 36507609 14.111442
"2012-02-21" 20.170778 20.227703 20.037951 20.132828 24555881 14.131421
"2012-02-22" 20.075901 20.332067 20.018974 20.265656 30213332 14.224654
"2012-02-23" 20.180265 20.28463 19.943073 19.952562 41009664 14.004892
"2012-02-24" 20.056927 20.246679 19.971537 20.094877 34679867 14.104787
"2012-02-27" 19.696396 20.275143 19.686907 20.170778 37747640 14.158056
"2012-02-28" 20.037951 20.189753 19.952562 20.132828 30038051 14.131421
"2012-02-29" 20.094877 20.256166 19.981026 20.047438 38202652 14.071485
"2012-03-01" 19.990513 20.540796 19.971537 20.388994 50123497 14.311226
"2012-03-02" 20.313093 20.398481 20.227703 20.313093 26050453 14.257956
"2012-03-05" 20.265656 20.474382 20.265656 20.398481 28109969 14.317886
"2012-03-06" 20.313093 20.445921 20.104364 20.180265 38474057 14.164717
"2012-03-07" 20.256166 20.483871 20.161289 20.275143 34605560 14.231312
"2012-03-08" 20.40797 20.464895 20.32258 20.360531 38896500 14.291245
"2012-03-09" 20.360531 20.626186 20.341557 20.379507 41506625 14.304562
"2012-03-12" 20.37002 20.531309 20.32258 20.436434 37946213 14.344523
